species_combo,cross_type,div_time_mya,div_time_mya_adjusted,div_time_mgens,div_time_mgens_adjusted,div_time_mgens_nocons,F1_RI,F2_RI,premating_RI,prezyg_RI,postzyg_RI,terminal_stage,fertility_f,fertility_m,F1_stage
tropicalis-remanei,heterospecific,47.288,47.288,472.88,472.88,472.88,,,0,0,,,,,
tropicalis-sinica,heterospecific,47.288,47.288,472.88,472.88,472.88,,,0,0.5,,,,,
vivipara-portoensis,heterospecific,,,,,,1,1,,1,,no fert,,,4
waitukubuli-becei,heterospecific,31.117,31.117,311.17,311.17,311.17,1,1,0,0,1,emb,,,3
waitukubuli-macrosperma,heterospecific,38.685,38.685,386.85,386.85,386.85,1,1,0,0,1,emb,,,3
waitukubuli-nouraguensis,heterospecific,31.117,31.117,311.17,311.17,311.17,1,1,0,0,1,emb,,,3
waitukubuli-panamensis,heterospecific,23.005,23.005,230.05,230.05,230.05,1,1,0,0,1,emb,,,3
waitukubuli-yunquensis,heterospecific,31.117,31.117,311.17,311.17,311.17,1,1,0,0,1,emb,,,3
wallacei-afra,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
wallacei-brenneri,heterospecific,36.852,36.852,368.52,368.52,368.52,1,1,0,0,1,emb,,,3
wallacei-briggsae,heterospecific,47.288,47.288,472.88,472.88,472.88,1,1,0,0,1,emb,,,3
wallacei-doughertyi,heterospecific,33.616,33.616,336.16,336.16,336.16,1,1,0,0,1,emb,,,3
wallacei-elegans,heterospecific,53.028,53.028,530.28,530.28,530.28,1,1,,,,ambig_emb,,,3.5
wallacei-imperialis,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,0,0,1,emb,,,3
wallacei-kamaaina,heterospecific,64.549,64.549,645.49,645.49,645.49,1,1,0,0,1,emb,,,3
wallacei-macrosperma,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
wallacei-nigoni,heterospecific,47.288,47.288,472.88,472.88,472.88,1,1,0,0,1,emb,,,3
wallacei-nouraguensis,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
wallacei-remanei,heterospecific,47.288,47.288,472.88,472.88,472.88,1,1,0,0,1,emb,,,3
wallacei-sinica,heterospecific,47.288,47.288,472.88,472.88,472.88,1,1,0,0,1,emb,,,3
wallacei-tropicalis,heterospecific,22.128,22.128,221.28,221.28,221.28,1,1,0,0,1,emb,,,3
yunquensis-afra,heterospecific,49.206,49.206,492.06,492.06,492.06,1,1,,,,ambig_emb,,,3.5
yunquensis-becei,heterospecific,19.177,19.177,191.77,191.77,191.77,1,1,0,0,1,emb,,,3
yunquensis-kamaaina,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,0,0,1,emb,,,3
yunquensis-macrosperma,heterospecific,38.685,38.685,386.85,386.85,386.85,1,1,0,0,1,emb,,,3
yunquensis-nouraguensis,heterospecific,19.177,19.177,191.77,191.77,191.77,1,1,0,0,1,emb,,,3
yunquensis-panamensis,heterospecific,31.117,31.117,311.17,311.17,311.17,1,1,,1,,no fert,,,4
yunquensis-waitukubuli,heterospecific,31.117,31.117,311.17,311.17,311.17,1,1,,1,,no fert,,,4
zanzibari-briggsae,heterospecific,32.378,32.378,323.78,323.78,323.78,1,1,0,0,1,sterile_adult,,,1
zanzibari-sinica,heterospecific,20.517,20.517,205.17,205.17,205.17,1,1,0,0,1,larvae,,,2
zanzibari-tribulationis,heterospecific,17.419,17.419,174.19,174.19,174.19,1,1,0,0,1,emb,,,3
zanzibari-nigoni,heterospecific,32.378,32.378,323.78,323.78,323.78,1,1,0,0,1,emb,,,3
zanzibari-remanei,heterospecific,42.735,42.735,427.35,427.35,427.35,1,1,0,0,1,emb,,,3
