species_combo,cross_type,div_time_mya,div_time_mya_adjusted,div_time_mgens,div_time_mgens_adjusted,div_time_mgens_nocons,F1_RI,F2_RI,premating_RI,prezyg_RI,postzyg_RI,terminal_stage,fertility_f,fertility_m,F1_stage
nigoni-elegans,heterospecific,53.028,53.028,530.28,530.28,530.28,1,1,0,,,ambig_emb,,,3.5
nigoni-macrosperma,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
nigoni-nouraguensis,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
nigoni-remanei,heterospecific,42.735,42.735,427.35,427.35,427.35,1,1,0,0.5,,ambig_emb,,,3.5
nigoni-sinica,heterospecific,32.378,32.378,323.78,323.78,323.78,1,1,0,0,1,emb,,,3
nigoni-wallacei,heterospecific,47.288,47.288,472.88,472.88,472.88,1,1,,,,ambig_emb,,,3.5
nigoni-zanzibari,heterospecific,32.378,32.378,323.78,323.78,323.78,1,1,0,0,1,emb,,,3
nouraguensis-afra,heterospecific,49.206,49.206,492.06,492.06,492.06,1,1,,,,ambig_emb,,,3.5
nouraguensis-becei,heterospecific,9.77,9.77,97.7,97.7,97.7,1,1,0,0,1,emb,,,3
nouraguensis-brenneri,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
nouraguensis-briggsae,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
nouraguensis-doughertyi,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
nouraguensis-elegans,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
nouraguensis-imperialis,heterospecific,56.779,56.779,567.79,567.79,567.79,1,1,,,,ambig_emb,,,3.5
nouraguensis-kamaaina,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
nouraguensis-macrosperma,heterospecific,38.685,38.685,386.85,386.85,386.85,1,1,,,,ambig_emb,,,3.5
nouraguensis-nigoni,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
nouraguensis-panamensis,heterospecific,31.117,31.117,311.17,311.17,311.17,1,1,,1,,no fert,,,4
nouraguensis-remanei,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
nouraguensis-sinica,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
nouraguensis-tropicalis,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
nouraguensis-waitukubuli,heterospecific,31.117,31.117,311.17,311.17,311.17,1,1,,1,,no fert,,,4
nouraguensis-wallacei,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
nouraguensis-yunquensis,heterospecific,19.177,19.177,191.77,191.77,191.77,1,1,0,0,1,emb,,,3
oiwi-kamaaina,heterospecific,9.981,9.981,99.81,99.81,99.81,1,1,,,,ambig_emb,,,3.5
panamensis-afra,heterospecific,49.206,49.206,492.06,492.06,492.06,1,1,,1,,no fert,,,4
